iso3,country,population,total_sleep_loss_tournament,avg_sleep_loss_per_match,max_single_match_impact,total_economic_loss,matches_analyzed,avg_sleep_loss_per_capita
ARG,Argentina,45696159,68544237.0,22848079.0,45696158.0,296423396.78667444,3,1.499999967174484
AUS,Australia,27196812,20397609.0,6799203.0,20397609.0,438401260.74609154,3,0.75
AUT,Austria,9177982,13766973.0,4588991.0,9177982.0,241153179.58010393,3,1.5
BEL,Belgium,11858610,11858610.0,3952870.0,11858610.0,182189699.05367157,3,1.0
BIH,Bosnia and Herzegovina,3164253,0.0,0.0,0.0,0.0,3,0.0
BRA,Brazil,211998573,158998929.0,52999643.0,158998929.0,517539721.65625995,3,0.7499999964622404
CAN,Canada,41288599,0.0,0.0,0.0,0.0,3,0.0
CHE,Switzerland,9005582,0.0,0.0,0.0,0.0,3,0.0
CIV,Côte d'Ivoire,31934230,31934230.0,10644743.333333334,31934230.0,29222115.945627276,3,1.0
COD,"Congo, The Democratic Republic of the",109276265,218552528.0,72850842.66666667,109276264.0,45632942.77698114,3,1.9999999816977638
COL,Colombia,52886363,0.0,0.0,0.0,0.0,3,0.0
CPV,Cabo Verde,524877,524876.0,174958.66666666666,524876.0,777082.2292198268,3,0.9999980947917322
CUW,Curaçao,155967,0.0,0.0,0.0,0.0,3,0.0
CZE,Czechia,10905028,21810056.0,7270018.666666667,10905028.0,209403823.91167367,3,2.0
DEU,Germany,83516593,83516592.0,27838864.0,41758296.0,1419055123.1597414,3,0.9999999880263315
DZA,Algeria,46814308,140442924.0,46814308.0,46814308.0,164760599.03124148,3,3.0
ECU,Ecuador,18135478,0.0,0.0,0.0,0.0,3,0.0
EGY,Egypt,116538258,233076516.0,77692172.0,116538258.0,173396221.13606945,3,2.0
ESP,Spain,48848840,48848840.0,16282946.666666666,48848840.0,495354047.91964465,3,1.0
FRA,France,68551653,68551652.0,22850550.666666668,68551652.0,874589274.1566546,3,0.9999999854124597
GBR,United Kingdom,69226000,34613000.0,11537666.666666666,34613000.0,565520404.7670587,3,0.5
GHA,Ghana,34427414,34427414.0,11475804.666666666,34427414.0,24084999.261287116,3,1.0
HRV,Croatia,3866200,9665500.0,3221833.3333333335,3866200.0,60605685.27475356,3,2.5
HTI,Haiti,11772557,0.0,0.0,0.0,0.0,3,0.0
IRN,"Iran, Islamic Republic of",91567738,183135476.0,61045158.666666664,91567738.0,194687018.34709492,3,2.0
IRQ,Iraq,46042015,115105035.0,38368345.0,46042014.0,145179251.25355634,3,2.4999999457017683
JOR,Jordan,11552876,17329314.0,5776438.0,11552876.0,16026494.266174633,3,1.5
JPN,Japan,123975371,123975370.0,41325123.333333336,123975370.0,1277715028.0649848,3,0.9999999919338818
KOR,"Korea, Republic of",51751065,0.0,0.0,0.0,0.0,3,0.0
MAR,Morocco,38081173,114243516.0,38081172.0,38081172.0,104244644.90567994,3,2.999999921220914
MEX,Mexico,130861007,0.0,0.0,0.0,0.0,3,0.0
NLD,Netherlands,17993485,26990226.0,8996742.0,17993484.0,612760899.9975047,3,1.4999999166364937
NOR,Norway,5572279,11144556.0,3714852.0,5572278.0,317265735.9159729,3,1.9999996410804268
NZL,New Zealand,5287500,0.0,0.0,0.0,0.0,3,0.0
PAN,Panama,4515577,0.0,0.0,0.0,0.0,3,0.0
PRT,Portugal,10694681,10694680.0,3564893.3333333335,10694680.0,91100818.46034259,3,0.9999999064955748
PRY,Paraguay,6929153,10393728.0,3464576.0,6929152.0,23422867.442652877,3,1.4999997835233252
QAT,Qatar,2857822,5715644.0,1905214.6666666667,2857822.0,190699985.64835155,3,2.0
SAU,Saudi Arabia,35300280,70600560.0,23533520.0,35300280.0,807087955.1093327,3,2.0
SCO,Scotland,5500000,3300000.0,1100000.0,1100000.0,55407000.0,3,0.6
SEN,Senegal,18501984,18501984.0,6167328.0,18501984.0,8533211.481622413,3,1.0
SWE,Sweden,10569709,21139416.0,7046472.0,10569708.0,389969812.2194508,3,1.9999998107800319
TUN,Tunisia,12277109,36831324.0,12277108.0,12277108.0,34817916.54054454,3,2.9999997556427984
TUR,Türkiye,85518661,128277990.0,42759330.0,85518660.0,554308429.1845359,3,1.4999999824599686
URY,Uruguay,3386588,0.0,0.0,0.0,0.0,3,0.0
USA,United States,340110988,170055494.0,56685164.666666664,170055494.0,4435122492.726593,3,0.5
UZB,Uzbekistan,36361859,54542787.0,18180929.0,36361858.0,49577919.20431554,3,1.4999999587479838
ZAF,South Africa,64007187,64007186.0,21335728.666666668,64007186.0,111486216.20621015,3,0.9999999843767544
