country,iso3,match_id,utc_kickoff,local_kickoff,timezone,population,viewers,viewer_ratio,stage,match_importance,base_interest,sleep_loss_per_viewer,total_sleep_loss_hours,working_pop_ratio,lost_productive_hours,gdp_per_capita,gdp_per_hour,economic_loss
Algeria,DZA,537397,2026-06-17T01:00:00+00:00,2026-06-17T02:00:00+01:00,Africa/Algiers,46814308,4681430,0.1,group,1.0,0.1,2.0,9362860.0,0.40784,3818548.8224,5752.99076651465,2.8764953832573252,10984038.058376295
Algeria,DZA,537400,2026-06-23T03:00:00+00:00,2026-06-23T04:00:00+01:00,Africa/Algiers,46814308,4681430,0.1,group,1.0,0.1,2.0,9362860.0,0.40784,3818548.8224,5752.99076651465,2.8764953832573252,10984038.058376295
Algeria,DZA,537402,2026-06-28T02:00:00+00:00,2026-06-28T03:00:00+01:00,Africa/Algiers,46814308,4681430,0.1,group,1.0,0.1,2.0,9362860.0,0.40784,3818548.8224,5752.99076651465,2.8764953832573252,10984038.058376295
Argentina,ARG,537397,2026-06-17T01:00:00+00:00,2026-06-16T22:00:00-03:00,America/Argentina/Buenos_Aires,45696159,4569615,0.1,group,1.0,0.1,1.0,4569615.0,0.61913,2829185.73495,13969.7836603737,6.98489183018685,19761556.326133434
Argentina,ARG,537399,2026-06-22T17:00:00+00:00,2026-06-22T14:00:00-03:00,America/Argentina/Buenos_Aires,45696159,4569615,0.1,group,1.0,0.1,0.0,0.0,0.61913,0.0,13969.7836603737,6.98489183018685,0.0
Argentina,ARG,537401,2026-06-28T02:00:00+00:00,2026-06-27T23:00:00-03:00,America/Argentina/Buenos_Aires,45696159,4569615,0.1,group,1.0,0.1,2.0,9139230.0,0.61913,5658371.4699,13969.7836603737,6.98489183018685,39523112.65226687
Australia,AUS,537346,2026-06-14T04:00:00+00:00,2026-06-14T14:30:00+10:30,Australia/Lord_Howe,27196812,2719681,0.1,group,1.0,0.1,0.0,0.0,0.66537,0.0,64603.9856308464,32.3019928154232,0.0
Australia,AUS,537348,2026-06-19T19:00:00+00:00,2026-06-20T05:30:00+10:30,Australia/Lord_Howe,27196812,2719681,0.1,group,1.0,0.1,1.5,4079521.5,0.66537,2714391.220455,64603.9856308464,32.3019928154232,87680245.70138521
Australia,AUS,537350,2026-06-26T02:00:00+00:00,2026-06-26T12:30:00+10:30,Australia/Lord_Howe,27196812,2719681,0.1,group,1.0,0.1,0.0,0.0,0.66537,0.0,64603.9856308464,32.3019928154232,0.0
Austria,AUT,537398,2026-06-17T04:00:00+00:00,2026-06-17T06:00:00+02:00,Europe/Vienna,9177982,917798,0.1,group,1.0,0.1,1.0,917798.0,0.60124,551816.86952,58268.8787651601,29.13443938258005,16076875.135315524
