country,match_id,stage,local_kickoff,viewers,sleep_loss_per_viewer,total_sleep_loss_hours,economic_loss
United States,537349,group,2026-06-25T22:00:00-04:00,43743037,1.0,43743037.0,1140837750.87485
Japan,537357,group,2026-06-15T05:00:00+09:00,17607828,2.0,35215656.0,362939613.68590266
Egypt,537366,group,2026-06-22T04:00:00+03:00,14727934,2.0,29455868.0,21913559.929318964
"Congo, The Democratic Republic of the",537406,group,2026-06-24T03:00:00+01:00,13451891,2.0,26903782.0,5617408.115683636
"Congo, The Democratic Republic of the",537408,group,2026-06-28T00:30:00+01:00,13451891,2.0,26903782.0,5617408.115683636
Türkiye,537349,group,2026-06-26T05:00:00+03:00,12177806,2.0,24355612.0,105244251.4070265
"Iran, Islamic Republic of",537364,group,2026-06-16T04:30:00+03:30,12090762,2.0,24181524.0,25706809.56784537
France,537393,group,2026-06-22T23:00:00+02:00,10538156,2.0,21076312.0,268893832.259202
"Iran, Islamic Republic of",537365,group,2026-06-21T22:30:00+03:30,12090762,1.5,18136143.0,19280107.175884027
Brazil,537341,group,2026-06-19T21:30:00-03:00,31452247,0.5,15726123.5,51188354.72735774
